"Index","price","return"
"2017-07-26","2017-07-26",35.7453804016113,0.00470271062657179
"2017-07-27","2017-07-27",35.0698738098145,-0.0190785753468883
"2017-07-28","2017-07-28",34.8229713439941,-0.00706520080360251
"2017-07-31","2017-07-31",34.6436080932617,-0.00516402709843611
"2017-08-01","2017-08-01",34.9510879516602,0.00883635899201707
"2017-08-02","2017-08-02",36.6025466918945,0.0461682227341793
"2017-08-03","2017-08-03",36.2368583679199,-0.010041031942293
"2017-08-04","2017-08-04",36.4278602600098,0.00525708584822837
"2017-08-07","2017-08-07",36.9915466308594,0.0153555434665646
"2017-08-08","2017-08-08",37.2873649597168,0.00796511113283493
"2017-08-09","2017-08-09",37.5156326293945,0.00610318798963583
"2017-08-10","2017-08-10",36.320686340332,-0.0323702656372267
"2017-08-11","2017-08-11",36.8258094787598,0.0138114932891402
"2017-08-14","2017-08-14",37.3800086975098,0.0149370908262956
"2017-08-15","2017-08-15",37.789234161377,0.0108882168081799
"2017-08-16","2017-08-16",37.6372299194336,-0.00403053356866323
"2017-08-17","2017-08-17",36.9146575927734,-0.0193850210350424
"2017-08-18","2017-08-18",36.8304786682129,-0.00228296984424725
"2017-08-21","2017-08-21",36.7626495361328,-0.00184335556707094
"2017-08-22","2017-08-22",37.3636360168457,0.0162155609176518
"2017-08-23","2017-08-23",37.4104156494141,0.00125122653190557
"2017-08-24","2017-08-24",37.244384765625,-0.00444797003278019
"2017-08-25","2017-08-25",37.3823394775391,0.00369719749749597
"2017-08-28","2017-08-28",37.7588424682617,0.0100212994225601
"2017-08-29","2017-08-29",38.0955810546875,0.00887860675398366
"2017-08-30","2017-08-30",38.1984596252441,0.0026968982634803
"2017-08-31","2017-08-31",38.3504753112793,0.00397173091941827
"2017-09-01","2017-09-01",38.3621597290039,0.000304628248236405
"2017-09-05","2017-09-05",37.9014778137207,-0.0120814462460106
"2017-09-06","2017-09-06",37.8617286682129,-0.001049299547911
"2017-09-07","2017-09-07",37.7097206115723,-0.00402290185232967
"2017-09-08","2017-09-08",37.0947151184082,-0.0164433925465279
"2017-09-11","2017-09-11",37.7658462524414,0.0179306460656883
"2017-09-12","2017-09-12",37.6161918640137,-0.00397056351301028
"2017-09-13","2017-09-13",37.3332481384277,-0.00755029176258093
"2017-09-14","2017-09-14",37.0128784179688,-0.00861838318393948
"2017-09-15","2017-09-15",37.3870277404785,0.0100578749605629
"2017-09-18","2017-09-18",37.1040725708008,-0.00759705600794147
"2017-09-19","2017-09-19",37.1181030273438,0.000378066436264923
"2017-09-20","2017-09-20",36.4960899353027,-0.0168996730329805
"2017-09-21","2017-09-21",35.8693733215332,-0.0173213092226483
"2017-09-22","2017-09-22",35.5186080932617,-0.00982708977472058
"2017-09-25","2017-09-25",35.205265045166,-0.0088610842270116
"2017-09-26","2017-09-26",35.8109245300293,0.0170573547610249
"2017-09-27","2017-09-27",36.0658111572266,0.00709235591158075
"2017-09-28","2017-09-28",35.8436470031738,-0.0061790164073714
"2017-09-29","2017-09-29",36.0400848388672,0.00546544592618892
"2017-10-02","2017-10-02",35.9675827026367,-0.00201373445929676
"2017-10-03","2017-10-03",36.1242637634277,0.00434671367608708
"2017-10-04","2017-10-04",35.8904151916504,-0.00649449243173761
"2017-10-05","2017-10-05",36.3370628356934,0.0123679616051109
"2017-10-06","2017-10-06",36.3160133361816,-0.000579452411649584
"2017-10-09","2017-10-09",36.4422912597656,0.00347116528013336
"2017-10-10","2017-10-10",36.4563217163086,0.000384930690542795
"2017-10-11","2017-10-11",36.6083106994629,0.00416040421637476
